id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,情感结果,情感得分
5206550809413285,Q2KpODuPb,1002908822,Qiuqiu032128,//@FanDomiNation丨樊振东星光簿:#樊振东#🏓#2025-2026德甲联赛#【20250831】#樊振东德甲首秀#【视频】,,,FanDomiNation丨樊振东星光簿,"樊振东,2025-2026德甲联赛,樊振东德甲首秀",0.0,0.0,738.0,2025-09-02 22:05:00,iPhone客户端,,,5206140000000000.0,,neutral,0.5
5206117409358134,Q2z8MDgtE,7099380038,不甜不要钱lk,#樊振东说需要适应德甲#,,,,樊振东说需要适应德甲,0.0,0.0,0.0,2025-09-01 17:22:00,iPhone客户端,"['https://wx1.sinaimg.cn/large/007Ksh3Ely1i4ybfr79s3j335s35s7wh.jpg', 'https://wx3.sinaimg.cn/large/007Ksh3Ely1i4ybfrml81j31jk1jktr7.jpg']",,,,neutral,0.5
5206117371875187,Q2z8J7ROX,7099380038,不甜不要钱lk,#樊振东说需要适应德甲#,,,,樊振东说需要适应德甲,0.0,0.0,0.0,2025-09-01 17:22:00,iPhone客户端,['https://wx2.sinaimg.cn/large/007Ksh3Ely1i4ybfmby9vj335s35s7wh.jpg'],,,,neutral,0.5
5206117341989697,Q2z8G8lBT,7099380038,不甜不要钱lk,#樊振东说需要适应德甲#,,,,樊振东说需要适应德甲,0.0,0.0,0.0,2025-09-01 17:22:00,iPhone客户端,['https://wx4.sinaimg.cn/large/007Ksh3Ely1i4ybfi6hgxj31jk1jktr7.jpg'],,,,neutral,0.5
5206117334387254,Q2z8Fipka,7949410180,乒永一_樊振东,#樊振东说需要适应德甲#买吗买吗买吗#樊振东说需要适应德甲#,,,,樊振东说需要适应德甲,0.0,0.0,161.0,2025-09-01 17:22:00,,,,5206120000000000.0,,neutral,0.5
5206500366354475,Q2J6sqF5x,6605401979,网球看这里,草莓拧是啥招？德甲赛场樊振东竟一球未接！世界排名第302的鲁伊斯秀出绝技，乒乓球对决精彩上演。#德甲乒乓球联赛##德甲#L网球看这里的微博视频,,,,"德甲乒乓球联赛,德甲",0.0,0.0,0.0,2025-09-02 18:44:00,微博视频号,,"http://f.video.weibocdn.com/o0/d4PhBNXplx08r63Bv92M01041200pfh00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805869&ssig=Q4ssoqV2gH&KID=unistore,video",,,neutral,0.5
5206497019301287,Q2J13D1GL,6605402972,体育激情燃烧室,樊振东德甲失利未接受采访，但沉默并非逃避！#德甲#L体育激情燃烧室的微博视频,,,,德甲,0.0,0.0,0.0,2025-09-02 18:31:00,微博视频号,,"http://f.video.weibocdn.com/o0/Ogun7LIolx08r62LGSpq010412006Paz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805869&ssig=qa2wmzKMBF&KID=unistore,video",,,neutral,0.5
5206025566159956,Q2wKEpQu8,6367852412,野生乒乓,#吴敬平点评樊振东德甲首秀##吴敬平说樊振东首秀失利不是坏事#@吴敬平教练发博点评樊振东德甲首秀：小胖德甲首秀失利，不是一件坏事。欧洲人打球，打的是天赋，打的是一种热爱，打的是一种随心所欲。中国人打球，打的是一种责任。在德甲联赛中体会欧洲人打球的快乐对小胖来说是一种新的体验。这个视频体现了欧洲人会玩乒乓球。我估计小胖也是在比赛中第一次看到这种接球方式，我看过欧洲人很多玩球的视频，其中就有这个玩法。#樊振东1比3杜达#L吴敬平教练的微博视频,,,吴敬平教练,"吴敬平点评樊振东德甲首秀,吴敬平说樊振东首秀失利不是坏事,樊振东1比3杜达",0.0,0.0,1.0,2025-09-01 11:18:00,iPhone客户端,,"http://f.video.weibocdn.com/o0/wAQP0XMdlx08r3VrnIY0010412007Dyd0E010.mp4?label=mp4_720p&template=720x800.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805897&ssig=bW6mMMM1Hu&KID=unistore,video",,,neutral,0.5
5206025521070642,Q2wKA4uwq,6407423563,咪咕奥运,#吴敬平点评樊振东德甲首秀##吴敬平说樊振东首秀失利不是坏事#@吴敬平教练发博点评樊振东德甲首秀：小胖德甲首秀失利，不是一件坏事。欧洲人打球，打的是天赋，打的是一种热爱，打的是一种随心所欲。中国人打球，打的是一种责任。在德甲联赛中体会欧洲人打球的快乐对小胖来说是一种新的体验。这个视频体现了欧洲人会玩乒乓球。我估计小胖也是在比赛中第一次看到这种接球方式，我看过欧洲人很多玩球的视频，其中就有这个玩法。#樊振东1比3杜达#L吴敬平教练的微博视频,,,吴敬平教练,"吴敬平点评樊振东德甲首秀,吴敬平说樊振东首秀失利不是坏事,樊振东1比3杜达",0.0,0.0,2.0,2025-09-01 11:17:00,iPhone客户端,,"http://f.video.weibocdn.com/o0/wAQP0XMdlx08r3VrnIY0010412007Dyd0E010.mp4?label=mp4_720p&template=720x800.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805897&ssig=bW6mMMM1Hu&KID=unistore,video",,,neutral,0.5
5206025464451545,Q2wKuiG37,6364463720,咪咕乒乓球,#吴敬平点评樊振东德甲首秀##吴敬平说樊振东首秀失利不是坏事#@吴敬平教练发博点评樊振东德甲首秀：小胖德甲首秀失利，不是一件坏事。欧洲人打球，打的是天赋，打的是一种热爱，打的是一种随心所欲。中国人打球，打的是一种责任。在德甲联赛中体会欧洲人打球的快乐对小胖来说是一种新的体验。这个视频体现了欧洲人会玩乒乓球。我估计小胖也是在比赛中第一次看到这种接球方式，我看过欧洲人很多玩球的视频，其中就有这个玩法。#樊振东1比3杜达#L吴敬平教练的微博视频,,,吴敬平教练,"吴敬平点评樊振东德甲首秀,吴敬平说樊振东首秀失利不是坏事,樊振东1比3杜达",1.0,1.0,7.0,2025-09-01 11:17:00,微博视频号,,"http://f.video.weibocdn.com/o0/wAQP0XMdlx08r3VrnIY0010412007Dyd0E010.mp4?label=mp4_720p&template=720x800.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805897&ssig=bW6mMMM1Hu&KID=unistore,video",,,neutral,0.5
5205866282486355,Q2sBKaqOv,5071105728,乌兰察布云,#樊振东德甲首战#【#樊振东第4盘加油#】@樊振东德甲首秀第一盘不敌鲁伊斯，第四盘樊振东vs杜达，加油！L央视新闻的微博视频,,,樊振东,"樊振东德甲首战,樊振东第4盘加油",0.0,0.0,1.0,2025-09-01 00:45:00,微博视频号,,"http://f.video.weibocdn.com/o0/VKOCIZQElx08r32dlvQc010412004GLH0E010.mp4?label=mp4_720p&template=864x486.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805946&ssig=NZKJ820SOZ&KID=unistore,video",,,neutral,0.5
5206013536110062,Q2wrfpDvo,6177021345,趋势研究所,【评论｜意外失利不可怕，#樊振东可以慢慢来#】#樊振东曾说并非只有拿到冠军才算成功#人们常用“足球是圆的”这句话来描述足球场上的瞬息万变，乒乓球台上，也适用同样的定律。<br/><br/>当所有人都期待着@樊振东的德甲首秀打出高光表现时，现实却上演了完全相反的剧本。<br/><br/>刚刚加盟萨尔布吕肯俱乐部，樊振东就以第一单打的身份出战。带着奥运冠军的光环，绝大部分人都预想着樊振东能够用胜利开启自己的新征程。<br/><br/>但首盘单打对阵世界排名第302位的鲁伊斯，樊振东的表现就出人意料——首局落败后，樊振东连扳两局，结果还是在一场五局大战后失利。<br/><br/>稍事休息，在第四盘单打中再度披挂上阵，樊振东依然没找回手感，以1比3不敌世界排名第8位的杜达，甚至在最后一局遭遇“崩盘”，一度以0比7大比分落后。一次次失误后，樊振东的沮丧肉眼可见。<br/><br/>不难看出，虽然一个月前在乒超联赛达成13连胜，但转战德甲，当下的樊振东距离最佳状态有不小的差距。<br/><br/>背后的因素也不止一个，一方面是舟车劳顿和繁忙日程所带来的训练不规律，以及随之导致的身体状态不在最佳。另一方面，千里转战环境完全不同的德甲，樊振东也的确需要一段磨合期。<br/><br/>比赛中，樊振东失误不少，心理压力明显影响了其手上的发挥。反观对手，都是以挑战和冲击奥运冠军的心态轻装上阵。心理状况上的差别，极大影响了胜利的天平。<br/><br/>与此同时，作为当下最受欢迎的球手之一，樊振东的比赛技术与风格已经被全球选手反复研究。而樊振东所面对的，则是较为陌生的对手、打法乃至比赛环境。自己在“明”对手在“暗”，本就状态不佳的“小胖”想要临场破解对手的球路，也并非易事。<br/><br/>多种因素的影响，造就了这场德甲首秀失利的“冷门”，但对于樊振东来说，这并非跨不过去的坎。<br/><br/>正如队友约奇克在赛后所说，面对不一样的球台、比赛用球以及对手，樊振东需要花时间去熟悉和适应。而在职业生涯中，樊振东也从不缺乏从失利中学习的能力和勇气。<br/><br/>此前接受采访时，樊振东就曾袒露心声——并非只有拿到冠军才算“成功”，“过程中你还会有很多可以磨炼自己、战胜自己的阶段。”<br/><br/>“我喜欢在我的职业生涯中去应对更多的挑战，这能丰富我的职业生涯，也能让我变成一个更好的人。”<br/><br/>选择远赴欧洲征战德甲，对于樊振东而言就是一种新的磨炼和挑战。放下心理的压力，一步步适应和融入当地环境，全身心投入和享受乒乓球，这是樊振东当下所需要的，也是支持他的国乒球迷们，所期望看到的。#樊振东1比3杜达#（澎湃新闻）,,,樊振东,"樊振东可以慢慢来,樊振东曾说并非只有拿到冠军才算成功,樊振东1比3杜达",0.0,0.0,0.0,2025-09-01 10:30:00,微易剪,,,,,neutral,0.55
